output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
prediction,NA,NA,Jakarta Barat,Kota Bogor,NA,NA,NA,NA,NA,NA,856868,1231600.0198115378,-374732.0198115378,54.217
prediction,NA,NA,Jakarta Pusat,Jakarta Barat,NA,NA,NA,NA,NA,NA,3183045,3021202.5984811,161842.40151889995,11.283
prediction,NA,NA,Jakarta Pusat,Jakarta Utara,NA,NA,NA,NA,NA,NA,3659815,2943503.233836453,716311.766163547,12.786
prediction,NA,NA,Jakarta Pusat,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3363549,3279879.572012007,83669.42798799323,10.681
prediction,NA,NA,Jakarta Pusat,Kota Tangerang,NA,NA,NA,NA,NA,NA,1664531,2169151.4944621287,-504620.4944621287,22.165
prediction,NA,NA,Jakarta Pusat,Jakarta Timur,NA,NA,NA,NA,NA,NA,4623701,3549448.8459004425,1074252.1540995575,20.296
prediction,NA,NA,Jakarta Pusat,Kota Bekasi,NA,NA,NA,NA,NA,NA,1646511,2006807.2445128108,-360296.24451281084,24.946
prediction,NA,NA,Jakarta Pusat,Kota Depok,NA,NA,NA,NA,NA,NA,1645465,1657159.763831179,-11694.76383117889,29.143
prediction,NA,NA,Jakarta Pusat,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,917137,952751.1394346813,-35614.139434681274,27.346
prediction,NA,NA,Jakarta Pusat,Tangerang,NA,NA,NA,NA,NA,NA,914475,1113374.987232711,-198899.98723271093,44.436
prediction,NA,NA,Jakarta Pusat,Bogor,NA,NA,NA,NA,NA,NA,2831279,3145585.447383691,-314306.4473836911,39.45
prediction,NA,NA,Jakarta Pusat,Bekasi,NA,NA,NA,NA,NA,NA,973485,1342846.0950087023,-369361.09500870225,54.155
prediction,NA,NA,Jakarta Pusat,Kota Bogor,NA,NA,NA,NA,NA,NA,450718,692000.5792822766,-241282.57928227657,53.488
prediction,NA,NA,Jakarta Selatan,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4159429,4394493.977011559,-235064.9770115586,11.104
prediction,NA,NA,Jakarta Selatan,Jakarta Barat,NA,NA,NA,NA,NA,NA,4376833,5538758.975912418,-1161925.9759124182,14.745
prediction,NA,NA,Jakarta Selatan,Jakarta Utara,NA,NA,NA,NA,NA,NA,3293944,4736533.309863401,-1442589.3098634006,21.19
prediction,NA,NA,Jakarta Selatan,Kota Bekasi,NA,NA,NA,NA,NA,NA,3057910,4108544.0649783625,-1050634.0649783625,24.224
prediction,NA,NA,Jakarta Selatan,Kota Depok,NA,NA,NA,NA,NA,NA,5923870,4207980.7230298845,1715889.2769701155,20.26
prediction,NA,NA,Jakarta Selatan,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1744855,2414448.018291801,-669593.0182918012,18.539
prediction,NA,NA,Jakarta Selatan,Jakarta Timur,NA,NA,NA,NA,NA,NA,6720306,6834003.813468439,-113697.81346843857,21.901
prediction,NA,NA,Jakarta Selatan,Bekasi,NA,NA,NA,NA,NA,NA,1992313,2969112.1950034625,-976799.1950034625,50.517
prediction,NA,NA,Jakarta Selatan,Bogor,NA,NA,NA,NA,NA,NA,8941180,7870540.729956846,1070639.2700431542,31.126
prediction,NA,NA,Jakarta Selatan,Kota Tangerang,NA,NA,NA,NA,NA,NA,2774312,3778141.011130909,-1003829.011130909,27.568
prediction,NA,NA,Jakarta Selatan,Kota Bogor,NA,NA,NA,NA,NA,NA,6048190,1829622.3515839987,4218567.648416001,43.074
prediction,NA,NA,Jakarta Selatan,Tangerang,NA,NA,NA,NA,NA,NA,1739791,2090753.8348696851,-350962.8348696851,46.988
prediction,NA,NA,Jakarta Timur,Kota Bekasi,NA,NA,NA,NA,NA,NA,7109699,7359863.340270974,-250164.34027097374,10.532
prediction,NA,NA,Jakarta Timur,Jakarta Utara,NA,NA,NA,NA,NA,NA,7459560,6722821.211069363,736738.7889306368,16.319
prediction,NA,NA,Jakarta Timur,Jakarta Pusat,NA,NA,NA,NA,NA,NA,5651736,4483772.970405276,1167963.029594724,18.742
prediction,NA,NA,Jakarta Timur,Jakarta Selatan,NA,NA,NA,NA,NA,NA,6642709,6620982.628466095,21726.371533905156,18.893
prediction,NA,NA,Jakarta Timur,Bekasi,NA,NA,NA,NA,NA,NA,3233494,4924689.692003003,-1691195.6920030033,39.742
prediction,NA,NA,Jakarta Timur,Jakarta Barat,NA,NA,NA,NA,NA,NA,4153560,4672788.571573904,-519228.5715739038,29.588
prediction,NA,NA,Jakarta Timur,Kota Depok,NA,NA,NA,NA,NA,NA,5675730,3847611.002782433,1828118.9972175672,32.053
prediction,NA,NA,Jakarta Timur,Kota Tangerang,NA,NA,NA,NA,NA,NA,2591649,3368434.6284679403,-776785.6284679403,40.318
prediction,NA,NA,Jakarta Timur,Kota Bogor,NA,NA,NA,NA,NA,NA,1149553,1703134.3992799276,-553581.3992799276,54.189
prediction,NA,NA,Jakarta Timur,Bogor,NA,NA,NA,NA,NA,NA,7557011,7441381.663599386,115629.33640061412,41.651
prediction,NA,NA,Jakarta Timur,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1747160,1846451.676972789,-99291.67697278899,37.103
prediction,NA,NA,Jakarta Timur,Tangerang,NA,NA,NA,NA,NA,NA,1742089,1722018.218451432,20070.781548568048,62.741
prediction,NA,NA,Jakarta Utara,Jakarta Pusat,NA,NA,NA,NA,NA,NA,4570589,3554624.178680709,1015964.8213192909,14.512
prediction,NA,NA,Jakarta Utara,Jakarta Timur,NA,NA,NA,NA,NA,NA,7621389,6995147.779693729,626241.2203062708,16.388
prediction,NA,NA,Jakarta Utara,Kota Bekasi,NA,NA,NA,NA,NA,NA,3579327,3812014.890446041,-232687.89044604078,22.433
prediction,NA,NA,Jakarta Utara,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3326544,4355835.8149801735,-1029291.8149801735,21.731
prediction,NA,NA,Jakarta Utara,Jakarta Barat,NA,NA,NA,NA,NA,NA,5216378,3824460.546210094,1391917.453789906,24.15
prediction,NA,NA,Jakarta Utara,Kota Tangerang,NA,NA,NA,NA,NA,NA,2355236,2906621.6999373287,-551385.6999373287,32.876
prediction,NA,NA,Jakarta Utara,Kota Depok,NA,NA,NA,NA,NA,NA,2368747,2443724.495112987,-74977.49511298677,36.225
prediction,NA,NA,Jakarta Utara,Bekasi,NA,NA,NA,NA,NA,NA,1969734,2550725.410079484,-580991.4100794839,51.643
prediction,NA,NA,Jakarta Utara,Bogor,NA,NA,NA,NA,NA,NA,4222677,4718377.327261138,-495700.3272611378,45.886
prediction,NA,NA,Jakarta Utara,Kota Bogor,NA,NA,NA,NA,NA,NA,713000,1057882.8016198592,-344882.8016198592,59.205
prediction,NA,NA,Jakarta Utara,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1462083,1250197.6210967572,211885.37890324276,38.851
prediction,NA,NA,Jakarta Utara,Tangerang,NA,NA,NA,NA,NA,NA,1457840,1393931.4369807264,63908.56301927357,57.721
prediction,NA,NA,Kota Bekasi,Jakarta Timur,NA,NA,NA,NA,NA,NA,8731070,9349937.765519047,-618867.7655190472,8.408
prediction,NA,NA,Kota Bekasi,Jakarta Utara,NA,NA,NA,NA,NA,NA,4302258,4348027.177906048,-45769.17790604755,22.819
prediction,NA,NA,Kota Bekasi,Bekasi,NA,NA,NA,NA,NA,NA,5243677,4854318.155991326,389358.8440086739,30.273
prediction,NA,NA,Kota Bekasi,Jakarta Selatan,NA,NA,NA,NA,NA,NA,3711908,4428219.196229038,-716311.1962290378,24.122
prediction,NA,NA,Kota Bekasi,Jakarta Pusat,NA,NA,NA,NA,NA,NA,2471571,2880764.662852804,-409193.6628528042,25.493
prediction,NA,NA,Kota Bekasi,Kota Depok,NA,NA,NA,NA,NA,NA,2410047,2843641.562495697,-433594.5624956968,33.497
prediction,NA,NA,Kota Bekasi,Jakarta Barat,NA,NA,NA,NA,NA,NA,3115772,3049794.6942350892,65977.305764910765,35.743
prediction,NA,NA,Kota Bekasi,Kota Tangerang Selatan,NA,NA,NA,NA,NA,NA,1567174,1257727.506540338,309446.49345966196,41.639
prediction,NA,NA,Kota Bekasi,Kota Tangerang,NA,NA,NA,NA,NA,NA,2061087,2164174.5714754714,-103087.57147547137,47.069
prediction,NA,NA,Kota Bekasi,Bogor,NA,NA,NA,NA,NA,NA,7303210,6138760.109926814,1164449.8900731858,38.929
prediction,NA,NA,Kota Bekasi,Kota Bogor,NA,NA,NA,NA,NA,NA,1366560,1423321.4173534687,-56761.417353468714,50.976
prediction,NA,NA,Kota Bekasi,Tangerang,NA,NA,NA,NA,NA,NA,1562626,1108273.182204017,454352.81779598305,69.427
prediction,NA,NA,Kota Bogor,Bogor,NA,NA,NA,NA,NA,NA,5260762,5720292.036611455,-459530.03661145456,17.115
prediction,NA,NA,Kota Bogor,Kota Depok,NA,NA,NA,NA,NA,NA,2228678,1848722.4194599357,379955.58054006426,25.325
